step_num,step_time_ms,data_transfer_time_ms,forward_time_ms,backward_time_ms,optimizer_time_ms,overhead_time_ms,gpu_memory_allocated_mb,gpu_memory_reserved_mb,gpu_memory_peak_mb,gpu_power_step_start_w,gpu_power_step_end_w,gpu_power_data_transfer_start_w,gpu_power_data_transfer_end_w,gpu_power_forward_start_w,gpu_power_forward_end_w,gpu_power_backward_start_w,gpu_power_backward_end_w,gpu_power_optimizer_start_w,gpu_power_optimizer_end_w,energy_data_transfer_j,energy_forward_j,energy_backward_j,energy_optimizer_j,energy_overhead_j,energy_step_j,co2_step_mg,gpu_temperature_c,gpu_utilization,gpu_memory_utilization,cpu_utilization,timestamp
49,252.25952,0.121542,76.798686,135.338672,38.085239,1.915381,3432.48876953125,10940.0,10615.47705078125,212.982,215.028,212.982,212.982,212.982,212.982,212.982,215.028,215.028,215.028,0.025886258244,16.356737741652,28.963152501359996,8.189392771691999,0.40990111090500003,53.94507038385299,0.44954225319877494,40.0,96.0,76.0,0.6,2026-02-21T20:02:02.438631
50,252.132697,0.088742,77.043921,135.27778,37.861244,1.86101,3432.48876953125,10940.0,10615.47705078125,215.028,213.078,215.028,215.028,215.028,212.798,212.798,214.928,214.928,213.078,0.019082014775999998,16.480696272873,28.930911864139997,8.102419799731999,0.39835477353,53.93146472505099,0.44942887270875825,40.0,98.0,73.0,0.6,2026-02-21T20:02:02.692560
51,251.946443,0.088862,76.859007,135.259601,37.832204,1.906769,3432.48876953125,10940.0,10615.47705078125,213.078,215.011,213.078,213.078,213.078,213.078,213.078,215.011,215.011,215.011,0.018934537236000002,16.376963493546,28.951573666244503,8.134340014244,0.4081334172205,53.88994512849101,0.44908287607075836,40.0,97.0,70.0,0.5,2026-02-21T20:02:02.946626
52,251.506317,0.087712,76.559783,135.178559,37.799194,1.881069,3432.48876953125,10940.0,10615.47705078125,215.011,213.874,215.011,215.011,215.011,212.884,212.884,215.112,215.112,213.874,0.018859044832000002,16.3797741733925,28.927941268881998,8.107662518642,0.4033811390325,53.837618144781,0.44864681787317495,40.0,96.0,76.0,0.5,2026-02-21T20:02:03.199939
53,252.124698,0.090132,77.05052,135.338913,37.765343,1.87979,3432.48876953125,10940.0,10615.47705078125,213.874,214.84,213.874,213.874,213.874,213.874,213.874,214.84,214.84,214.84,0.019276891368,16.47910291448,29.010843373941,8.11350629012,0.40294614503000004,54.025675614939004,0.45021396345782505,41.0,97.0,77.0,0.5,2026-02-21T20:02:03.453858
54,252.055487,0.086962,76.930249,135.301972,37.816244,1.92006,3432.48876953125,10940.0,10615.47705078125,214.84,214.231,214.84,214.84,214.84,212.884,212.884,215.053,215.053,214.231,0.01868291608,16.452456911638002,28.950359995882,8.116954244648,0.41192103213000003,53.950375100378004,0.4495864591698167,41.0,98.0,71.0,0.6,2026-02-21T20:02:03.708022
55,251.743152,0.089292,76.635494,135.356262,37.788904,1.8732,3432.48876953125,10940.0,10615.47705078125,214.231,214.921,214.231,214.231,214.231,215.392,215.392,214.921,214.921,214.921,0.019129114452,16.462185419381,29.122779585003002,8.121629036583998,0.40194376319999997,54.12766691862,0.4510638909885,41.0,97.0,74.0,0.5,2026-02-21T20:02:03.961590
56,252.056766,0.087402,76.929068,135.378263,37.803094,1.858939,3432.48876953125,10940.0,10615.47705078125,214.921,214.391,214.921,214.921,214.921,212.75,212.75,215.17,215.17,214.391,0.018784525242,16.450165720314,28.965533151479995,8.119367430867,0.399032409984,53.952883237887,0.449607360315725,41.0,97.0,76.0,0.5,2026-02-21T20:02:04.215429
57,251.960655,0.087702,76.956699,135.264751,37.772263,1.87924,3432.48876953125,10940.0,10615.47705078125,214.391,214.662,214.391,214.391,214.391,214.191,214.191,214.662,214.662,214.662,0.018802519482,16.491127985409,29.004347130301497,8.108269520106,0.40314677985999997,54.0256939351585,0.45021411612632084,41.0,97.0,77.0,0.6,2026-02-21T20:02:04.469644
58,251.866322,0.087072,76.726755,135.25872,37.897715,1.89606,3432.48876953125,10940.0,10615.47705078125,214.662,215.357,214.662,214.662,214.662,211.988,211.988,215.357,215.357,215.357,0.018691049664,16.367735010374997,28.9010688492,8.161538209255,0.40767091257,53.856704031064,0.44880586692553326,41.0,99.0,69.0,0.6,2026-02-21T20:02:04.723885
