step_num,step_time_ms,forward_time_ms,backward_time_ms,optimizer_time_ms,gpu_memory_allocated_mb,gpu_memory_reserved_mb,gpu_memory_peak_mb,gpu_utilization,cpu_utilization,timestamp
102,251.777766,77.240463,135.605587,37.959281,3437.98876953125,10940.0,10616.72705078125,99.0,0.5,2026-02-18T17:47:14.695562
103,251.910298,77.359064,135.252751,37.821989,3437.98876953125,10940.0,10616.72705078125,98.0,0.5,2026-02-18T17:47:14.949284
104,252.245463,77.899412,135.527365,37.830649,3437.98876953125,10940.0,10616.72705078125,96.0,0.5,2026-02-18T17:47:15.203277
105,252.01767,77.436576,135.637197,37.970201,3437.98876953125,10940.0,10616.72705078125,97.0,0.5,2026-02-18T17:47:15.457410
106,251.826206,77.349444,135.545336,37.960721,3437.98876953125,10940.0,10616.72705078125,99.0,0.5,2026-02-18T17:47:15.710994
107,252.10159,77.639839,135.665618,37.821779,3437.98876953125,10940.0,10616.72705078125,98.0,0.5,2026-02-18T17:47:15.964795
108,251.877387,77.469957,135.524845,37.91786,3437.98876953125,10940.0,10616.72705078125,97.0,0.5,2026-02-18T17:47:16.218654
109,251.748505,77.226873,135.732018,37.817278,3437.98876953125,10940.0,10616.72705078125,97.0,0.5,2026-02-18T17:47:16.472797
110,252.339404,77.762021,135.728679,37.90656,3437.98876953125,10940.0,10616.72705078125,99.0,0.6,2026-02-18T17:47:16.726851
111,252.263993,77.629599,135.543895,38.142254,3437.98876953125,10940.0,10616.72705078125,97.0,0.6,2026-02-18T17:47:16.981683
112,252.10207,77.635349,135.517265,37.91745,3437.98876953125,10940.0,10616.72705078125,96.0,0.5,2026-02-18T17:47:17.235833
113,252.73688,78.432202,135.532635,37.836479,3437.98876953125,10940.0,10616.72705078125,99.0,0.6,2026-02-18T17:47:17.490480
114,251.973438,77.68046,135.575926,37.774828,3437.98876953125,10940.0,10616.72705078125,98.0,0.5,2026-02-18T17:47:17.744158
115,251.986029,77.571978,135.621617,37.837648,3437.98876953125,10940.0,10616.72705078125,97.0,0.5,2026-02-18T17:47:17.998146
116,251.39141,77.313634,135.294641,37.809928,3437.98876953125,10940.0,10616.72705078125,97.0,0.5,2026-02-18T17:47:18.251942
117,252.570528,77.830642,135.796949,37.997152,3437.98876953125,10940.0,10616.72705078125,99.0,0.5,2026-02-18T17:47:18.506242
118,252.339004,77.659039,135.762728,37.91326,3437.98876953125,10940.0,10616.72705078125,98.0,0.5,2026-02-18T17:47:18.760634
119,251.699404,77.303083,135.595167,37.846579,3437.98876953125,10940.0,10616.72705078125,97.0,0.5,2026-02-18T17:47:19.014392
120,251.759385,77.488206,135.399073,37.888079,3437.98876953125,10940.0,10616.72705078125,97.0,0.5,2026-02-18T17:47:19.268256
121,252.471386,77.994334,135.623267,37.87117,3437.98876953125,10940.0,10616.72705078125,99.0,0.5,2026-02-18T17:47:19.522444
122,251.857767,77.418605,135.668928,37.821509,3437.98876953125,10940.0,10616.72705078125,97.0,0.5,2026-02-18T17:47:19.776305
123,252.171011,77.481556,135.917111,37.822028,3437.98876953125,10940.0,10616.72705078125,97.0,0.5,2026-02-18T17:47:20.030173
124,252.494496,77.848932,135.79139,37.902939,3437.98876953125,10940.0,10616.72705078125,99.0,0.5,2026-02-18T17:47:20.284363
