step_num,step_time_ms,forward_time_ms,backward_time_ms,optimizer_time_ms,gpu_memory_allocated_mb,gpu_memory_reserved_mb,gpu_memory_peak_mb,gpu_power_forward_start_w,gpu_power_forward_end_w,gpu_power_backward_start_w,gpu_power_backward_end_w,gpu_power_optimizer_start_w,gpu_power_optimizer_end_w,energy_forward_j,energy_backward_j,energy_optimizer_j,energy_step_j,gpu_temperature_c,gpu_utilization,gpu_memory_utilization,cpu_utilization,timestamp
59,251.879216,77.265939,135.23349,37.856271,3432.48876953125,10940.0,10615.47705078125,213.454,213.558,213.558,212.757,212.757,212.757,16.496741572134002,28.826032644675003,8.054186649146999,53.37696086595601,41.0,91.0,67.0,0.5,2026-02-20T14:43:07.121844
60,251.60155,77.095316,135.20643,37.8,3432.48876953125,10940.0,10615.47705078125,212.757,210.277,210.277,213.106,213.106,213.082,16.306969954372,28.622051976344995,8.0549532,52.983975130717,41.0,96.0,76.0,0.5,2026-02-20T14:43:07.375511
61,252.482727,77.40264,135.343733,38.093686,3432.48876953125,10940.0,10615.47705078125,213.082,212.825,212.825,212.396,212.396,212.396,16.48316309724,28.775498744996497,8.090946531656,53.349608373892494,41.0,97.0,76.0,0.5,2026-02-20T14:43:07.629724
62,252.182,77.399611,135.372193,37.934882,3432.48876953125,10940.0,10615.47705078125,212.396,209.526,209.526,212.833,212.833,212.833,16.328299336171,28.587832031643504,8.073794740706001,52.9899261085205,42.0,99.0,69.0,0.5,2026-02-20T14:43:07.884053
63,250.98244,76.8113,134.777352,37.877192,3432.48876953125,10940.0,10615.47705078125,212.833,212.507,212.507,215.153,215.153,215.153,16.335459171,28.819441178159995,8.149391490375999,53.30429183953599,42.0,97.0,77.0,0.5,2026-02-20T14:43:08.136817
64,252.476476,77.501033,135.636657,37.83285,3432.48876953125,10940.0,10615.47705078125,212.535,212.535,212.535,214.941,214.941,214.941,16.471682048654998,28.990707793865997,8.13183061185,53.59422045437099,42.0,97.0,76.0,0.5,2026-02-20T14:43:08.390974
65,252.385115,77.394871,135.588636,37.882512,3432.48876953125,10940.0,10615.47705078125,214.941,213.016,213.016,214.281,214.281,212.778,16.5608384042735,28.968308698446005,8.089033846104,53.61818094882351,42.0,99.0,74.0,0.6,2026-02-20T14:43:08.647559
66,250.736736,76.565487,134.814923,37.874071,3432.48876953125,10940.0,10615.47705078125,212.778,212.778,212.778,215.961,215.961,215.961,16.291451192886,28.900207636048503,8.179322247231001,53.370981076165506,42.0,96.0,68.0,0.5,2026-02-20T14:43:08.900377
67,251.716223,77.129536,135.21245,37.860012,3432.48876953125,10940.0,10615.47705078125,215.961,213.657,213.657,215.767,215.767,214.001,16.568118498624003,29.0317355644,8.135510818608001,53.73536488163201,42.0,96.0,77.0,0.5,2026-02-20T14:43:09.153764
68,252.461127,77.456952,135.684788,37.82555,3432.48876953125,10940.0,10615.47705078125,214.001,214.001,214.001,215.688,215.688,215.688,16.575865184952,29.151130435465998,8.1585172284,53.885512848817996,42.0,97.0,76.0,0.5,2026-02-20T14:43:09.407903
69,252.084919,77.171267,135.490065,37.938423,3432.48876953125,10940.0,10615.47705078125,215.688,213.845,213.845,216.141,216.141,215.167,16.5738029141555,29.129415544544997,8.181572673642,53.8847911323425,42.0,98.0,71.0,0.5,2026-02-20T14:43:09.662057
70,251.939497,77.039445,135.462374,37.941613,3432.48876953125,10940.0,10615.47705078125,215.167,216.846,216.846,215.746,215.746,215.746,16.6410208763925,29.299969646704,8.185751238298,54.1267417613945,43.0,97.0,73.0,0.5,2026-02-20T14:43:09.915652
71,252.761641,77.526533,135.641097,38.084105,3432.48876953125,10940.0,10615.47705078125,215.746,213.237,213.237,215.776,215.776,214.846,16.6287823529695,29.0958969736305,8.199926731655001,53.924606058254994,43.0,97.0,76.0,0.5,2026-02-20T14:43:10.170076
72,252.007528,77.36353,135.327092,37.82438,3432.48876953125,10940.0,10615.47705078125,214.846,215.033,215.033,215.416,215.416,215.416,16.628478456435,29.125705712153998,8.14797664208,53.902160810669,43.0,97.0,77.0,0.5,2026-02-20T14:43:10.424032
73,251.830545,77.070935,135.377293,37.915572,3432.48876953125,10940.0,10615.47705078125,215.416,212.497,212.497,215.584,215.584,215.584,16.4898275043275,28.976223482366503,8.173990674048001,53.640041660742,43.0,99.0,68.0,0.5,2026-02-20T14:43:10.677587
74,252.400365,77.408602,135.621837,37.866361,3432.48876953125,10940.0,10615.47705078125,215.584,214.512,214.512,215.044,215.044,215.044,16.646565042896,29.128586907186,8.142933734884,53.918085684966,43.0,97.0,77.0,0.5,2026-02-20T14:43:10.931672
75,252.016108,77.4048,135.271371,37.844051,3432.48876953125,10940.0,10615.47705078125,215.044,212.116,212.116,215.511,215.511,215.511,16.532117184,28.9228452833085,8.155809275061,53.61077174236951,43.0,97.0,76.0,0.5,2026-02-20T14:43:11.185674
76,251.856136,77.124747,135.373893,37.892852,3432.48876953125,10940.0,10615.47705078125,215.511,214.362,214.362,215.622,215.622,213.354,16.576923183565498,29.104304003856,8.127562039775999,53.808789227197494,43.0,98.0,74.0,0.6,2026-02-20T14:43:11.443908
77,251.965737,77.057335,135.595417,37.834891,3432.48876953125,10940.0,10615.47705078125,213.354,213.354,213.354,214.98,214.98,214.98,16.440490651590004,29.040063672639,8.13374486718,53.614299191409,43.0,96.0,67.0,0.5,2026-02-20T14:43:11.697583
78,252.203332,77.373181,135.555885,37.81997,3432.48876953125,10940.0,10615.47705078125,214.98,212.749,212.749,214.983,214.983,213.34,16.5473766679745,28.990794901409995,8.099581505155,53.637753074539496,43.0,97.0,76.0,0.6,2026-02-20T14:43:11.951439
79,252.275682,77.40443,135.490455,37.901372,3432.48876953125,10940.0,10615.47705078125,213.34,213.34,213.34,214.985,214.985,214.985,16.5134610962,29.016974568937506,8.148226459420002,53.678662124557505,43.0,97.0,76.0,0.6,2026-02-20T14:43:12.205613
80,252.208862,77.187337,135.552546,37.988893,3432.48876953125,10940.0,10615.47705078125,214.985,212.756,212.756,214.874,214.874,213.792,16.5080943578585,28.98316762299,8.142273403369,53.633535384217495,44.0,99.0,71.0,0.5,2026-02-20T14:43:12.460000
81,252.091289,77.125567,135.596316,37.893891,3432.48876953125,10940.0,10615.47705078125,213.792,215.722,215.722,215.013,215.013,215.013,16.563255392219002,29.20303958613,8.147679185583,53.913974163932004,44.0,97.0,72.0,0.6,2026-02-20T14:43:12.713824
82,253.050306,77.541393,135.532586,38.444811,3432.48876953125,10940.0,10615.47705078125,215.013,213.192,213.192,215.662,215.662,214.979,16.6018060947825,29.061845818222004,8.2779559269255,53.94160783993,44.0,97.0,76.0,0.5,2026-02-20T14:43:12.968578
83,252.334943,77.549174,135.453094,37.855112,3432.48876953125,10940.0,10615.47705078125,214.979,215.434,215.434,215.525,215.525,215.525,16.689086314431,29.187364968573,8.158723013800001,54.035174296804,44.0,97.0,76.0,0.5,2026-02-20T14:43:13.223021
84,252.209381,77.149527,135.665448,37.903362,3432.48876953125,10940.0,10615.47705078125,215.525,212.875,212.875,215.932,215.932,215.932,16.525428683399998,29.087146880268,8.184548763384,53.797124327052,44.0,99.0,68.0,0.5,2026-02-20T14:43:13.476954
85,252.545857,77.490123,135.594906,37.976303,3432.48876953125,10940.0,10615.47705078125,215.932,214.88,214.88,215.377,215.377,215.377,16.691837434937998,29.170328735421,8.179222211231002,54.04138838159,44.0,97.0,77.0,0.5,2026-02-20T14:43:13.731217
86,252.283813,77.433701,135.529895,37.818771,3432.48876953125,10940.0,10615.47705078125,215.377,212.695,212.695,215.629,215.629,215.629,16.573599627236,29.02535337299,8.154823771959,53.753776772185006,44.0,97.0,75.0,0.5,2026-02-20T14:43:13.985522
87,252.011408,77.238119,135.432744,37.841891,3432.48876953125,10940.0,10615.47705078125,215.629,214.432,214.432,215.616,215.616,213.364,16.608551347629497,29.121290345856,8.116707200590001,53.8465488940755,44.0,98.0,74.0,0.6,2026-02-20T14:43:14.243052
88,252.122151,77.155317,135.640558,37.838371,3432.48876953125,10940.0,10615.47705078125,213.364,213.364,213.364,215.061,215.061,215.061,16.462167056388,29.055903030575,8.137557905631,53.655627992594,45.0,96.0,67.0,0.5,2026-02-20T14:43:14.496894
89,252.556807,77.470962,135.590576,37.968213,3432.48876953125,10940.0,10615.47705078125,215.061,212.919,212.919,215.107,215.107,213.394,16.57801115838,29.018145941487997,8.1347086193565,53.7308657192245,45.0,97.0,76.0,0.5,2026-02-20T14:43:14.751195
90,252.536357,77.612054,135.484424,37.919022,3432.48876953125,10940.0,10615.47705078125,213.394,213.394,213.394,214.969,214.969,214.969,16.561946651276,29.018257158955997,8.151414240318,53.73161805054999,45.0,96.0,76.0,0.5,2026-02-20T14:43:15.005786
91,252.187872,77.184617,135.527456,37.990164,3432.48876953125,10940.0,10615.47705078125,214.969,212.984,212.984,215.228,215.228,214.139,16.515694199500498,29.017241494335998,8.155861373094,53.68879706693049,45.0,98.0,71.0,0.5,2026-02-20T14:43:15.260075
92,252.319214,77.130946,135.728649,37.974423,3432.48876953125,10940.0,10615.47705078125,214.139,215.973,215.973,215.343,215.343,215.343,16.587472722976003,29.270968986042003,8.177526172089,54.03596788110701,45.0,97.0,73.0,0.5,2026-02-20T14:43:15.514085
93,252.650159,77.594794,135.711598,37.861951,3432.48876953125,10940.0,10615.47705078125,215.343,213.389,213.389,215.763,215.763,215.123,16.633685610603997,29.120451852448,8.157092309292999,53.911229772344996,45.0,97.0,76.0,0.5,2026-02-20T14:43:15.768422
94,252.392285,77.473542,135.589596,37.848852,3432.48876953125,10940.0,10615.47705078125,215.123,215.494,215.494,215.706,215.706,215.706,16.680712117707,29.233116897600002,8.164224469512,54.078053484819,45.0,97.0,77.0,0.5,2026-02-20T14:43:16.022845
95,252.225381,77.187617,135.668957,37.860621,3432.48876953125,10940.0,10615.47705078125,215.706,212.923,212.923,215.889,215.889,215.889,16.5424255435465,29.088238394542003,8.173691607069,53.804355545157506,45.0,99.0,68.0,0.5,2026-02-20T14:43:16.277130
96,252.355134,77.3618,135.408933,37.990533,3432.48876953125,10940.0,10615.47705078125,215.889,214.778,214.778,215.334,215.334,215.334,16.6585871603,29.120503495248,8.180653433022,53.959744088570005,45.0,97.0,76.0,0.5,2026-02-20T14:43:16.531207
97,252.474285,77.662825,135.488204,37.824211,3432.48876953125,10940.0,10615.47705078125,215.334,212.546,212.546,215.849,215.849,215.849,16.6151847805,29.02123457629,8.164318120139,53.800737476929,45.0,96.0,76.0,0.5,2026-02-20T14:43:16.785456
98,252.397885,77.31555,135.760889,37.834341,3432.48876953125,10940.0,10615.47705078125,215.849,214.695,214.695,215.994,215.994,213.768,16.6438730796,29.235360761260498,8.129881028421,54.00911486928149,45.0,99.0,75.0,0.5,2026-02-20T14:43:17.042394
99,252.236551,77.233218,135.636838,37.856231,3432.48876953125,10940.0,10615.47705078125,213.768,213.768,213.768,215.617,215.617,215.617,16.509990545424003,29.120211842315,8.162446959527,53.79264934726601,46.0,96.0,67.0,0.6,2026-02-20T14:43:17.296497
100,252.451805,77.415161,135.587716,37.985093,3432.48876953125,10940.0,10615.47705078125,215.617,213.366,213.366,215.708,215.708,214.086,16.6048940056315,29.088581827492,8.162882530421,53.8563583635445,46.0,97.0,76.0,0.5,2026-02-20T14:43:17.550634
